261222,141721,51.101396,3.276306,8,104,31,4,0
261222,141820,51.101370,3.277652,12,999,31,4,94
261222,141918,51.102148,3.278090,3,999,31,4,185
261222,142018,51.102902,3.278633,4,999,23,4,277
261222,142118,51.103741,3.279423,8,999,19,4,385
261222,142218,51.104545,3.279894,7,999,10,4,480
261222,142318,51.105326,3.280572,4,999,5,4,578
261222,142418,51.106313,3.280944,3,999,5,4,690
261222,142518,51.107169,3.281761,7,999,2,4,800
261222,142618,51.107653,3.282870,7,999,8,4,894
261222,142718,51.108219,3.284121,1,999,10,4,1001
261222,142818,51.108374,3.284720,5,999,14,4,1046
261222,142918,51.109063,3.285745,5,999,12,4,1150
261222,143018,51.109313,3.286064,2,999,-4,3,1185
261222,143118,51.110536,3.285606,5,999,14,4,1324
261222,143218,51.110596,3.286953,3,999,21,4,1418
261222,143318,51.111219,3.287249,8,999,12,4,1490
261222,143418,51.111865,3.287151,2,999,-22,4,1562
261222,143518,51.113066,3.286586,3,999,-33,4,1701
261222,143618,51.113547,3.285511,5,999,-19,4,1793
261222,143718,51.113745,3.284148,12,999,3,4,1890
261222,143818,51.113969,3.285016,13,74,22,4,1955
261222,143918,51.114515,3.286247,4,999,81,4,2060
261222,144018,51.114567,3.287416,14,999,68,4,2141
261222,144118,51.115743,3.287258,5,999,44,4,2272
261222,144218,51.115910,3.288454,7,999,23,4,2357
261222,144318,51.116690,3.288865,4,999,30,4,2448
261222,144420,51.117492,3.289229,9,999,22,3,2540
261222,144520,51.117839,3.290512,7,999,10,4,2637
261222,144620,51.118578,3.291513,7,999,21,4,2744
261222,144720,51.118233,3.292425,6,999,34,4,2818
261222,144820,51.117289,3.293248,12,999,32,4,2937
261222,144920,51.116461,3.293741,6,999,28,4,3035
261222,145020,51.116142,3.295019,3,999,28,5,3131
261222,145120,51.115476,3.295246,4,999,28,5,3206
261222,145211,51.114712,3.295394,5,999,27,5,3291
261222,145211,51.114712,3.295394,5,999,27,5,3291
261222,145211,51.114712,3.295394,5,999,27,5,3291
261222,145519,51.111772,3.296075,6,999,27,4,3621
261222,145619,51.111558,3.297205,4,999,27,4,3703
261222,145719,51.111608,3.298570,4,999,27,4,3798
261222,145819,51.111880,3.300044,4,999,28,4,3905
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,145831,51.111898,3.300344,4,999,28,4,3926
261222,152816,51.095926,3.313880,6,233,12,7,5937
261222,152920,51.095124,3.314903,3,999,13,7,6051
261222,153020,51.094417,3.315786,5,139,14,7,6150
261222,153114,51.093731,3.316625,7,143,13,7,6246
261222,153138,51.093477,3.316832,1,999,12,7,6277
261222,153138,51.093477,3.316832,1,999,12,7,6277
261222,153417,51.092390,3.314197,4,999,6,7,6497
261222,153431,51.092262,3.313892,7,193,6,7,6522
261222,153617,51.091385,3.311781,5,999,6,8,6698
261222,153717,51.090914,3.310583,12,212,5,8,6796
261222,153810,51.090577,3.309626,5,232,5,8,6872
261222,153917,51.091177,3.308716,2,999,4,8,6964
261222,154008,51.091837,3.308151,2,999,4,8,7047
261222,154117,51.092797,3.307607,6,336,6,8,7160
261222,154215,51.093569,3.307074,5,336,5,8,7253
261222,154255,51.094038,3.306609,6,337,6,8,7314
261222,154408,51.094960,3.305509,6,337,6,8,7442
261222,154514,51.095781,3.304756,3,999,8,8,7547
261222,154615,51.096647,3.304418,8,350,9,8,7646
261222,154705,51.096894,3.303485,6,270,8,8,7716
261222,154816,51.096712,3.301968,5,252,7,9,7823
261222,154915,51.095774,3.302508,4,999,7,9,7933
261222,155015,51.095104,3.301621,3,999,8,9,8029
261222,155116,51.095138,3.300116,4,999,7,9,8134
261222,155215,51.094947,3.298857,1,999,6,9,8224
261222,155316,51.094558,3.298122,9,267,7,9,8291
261222,155415,51.094730,3.297502,5,999,9,10,8338
261222,155515,51.094752,3.296193,3,999,7,10,8429
261222,155616,51.094187,3.294998,3,999,6,10,8533
261222,155715,51.093704,3.293806,4,999,6,10,8632
261222,155816,51.093619,3.292251,3,999,5,10,8741
261222,155916,51.094013,3.291318,3,999,4,10,8819
261222,160016,51.094982,3.291349,4,999,4,10,8926
261222,160116,51.095791,3.291165,3,999,5,10,9016
261222,160217,51.095888,3.289709,3,999,4,10,9118
261222,160316,51.096011,3.288742,4,999,4,10,9186
261222,160416,51.096048,3.287280,3,999,3,10,9288
261222,160516,51.096088,3.285838,4,999,2,10,9388
261222,160616,51.096179,3.284407,2,999,1,10,9488
261222,160716,51.096279,3.282985,3,999,1,9,9587
261222,160816,51.096862,3.282808,4,999,4,10,9652
261222,160916,51.097741,3.283496,5,999,4,10,9760
261222,161016,51.098126,3.282569,3,999,3,10,9837
261222,161116,51.098310,3.281164,4,999,2,10,9937
261222,161216,51.098478,3.279656,4,999,2,10,10043
261222,161316,51.098644,3.278172,2,999,0,10,10148
261222,161416,51.098815,3.276713,4,999,-1,10,10251
261222,161516,51.098978,3.275266,3,999,0,9,10353
261222,161616,51.098933,3.273756,4,999,0,9,10458
261222,161716,51.099136,3.272444,4,999,0,9,10552
261222,161816,51.099411,3.271434,11,44,1,6,10628
261222,161916,51.099908,3.271022,2,999,2,9,10690
261222,162016,51.100807,3.271518,4,999,4,9,10795

